"CDL Paranagua","GEO SUL","13.924","ROTA","725","2019-02-01 00:00:00","TOTAL"
"CRBS CDBlumenau","GEO SUL","43.951","ROTA","928","2019-02-01 00:00:00","TOTAL"
"CRBS CDCamboriu","GEO SUL","52.306","ROTA","926","2019-02-01 00:00:00","TOTAL"
"CDC Caceres","GEO CO","16.050","ROTA","448","2019-03-01 00:00:00","TOTAL"
"CDC Catalao","GEO CO","9.232","ROTA","783","2019-03-01 00:00:00","TOTAL"
"CDC Colider","GEO CO","15.043","ROTA","465","2019-03-01 00:00:00","TOTAL"
"CDC Formosa","GEO CO","14.009","ROTA","732","2019-03-01 00:00:00","TOTAL"
"CDC Itumbiara","GEO CO","10.670","ROTA","77","2019-03-01 00:00:00","TOTAL"
"CDC Rio Branco","GEO CO","6.645","ROTA","572","2019-03-01 00:00:00","TOTAL"
"CDC Rio Verde","GEO CO","32.079","ROTA","435","2019-03-01 00:00:00","TOTAL"
"CDC Tangara","GEO CO","11.904","ROTA","829","2019-03-01 00:00:00","TOTAL"
"CDD Brasilia","GEO CO","86.283","ROTA","710","2019-03-01 00:00:00","TOTAL"
"CDD Campo Gde","GEO CO","- 0","ROTA","454","2019-03-01 00:00:00","TOTAL"
"CDD Cuiaba","GEO CO","57.922","ROTA","455","2019-03-01 00:00:00","TOTAL"
"CDD F. Brasilia","GEO CO","22.671","ROTA","39","2019-03-01 00:00:00","TOTAL"
"CDD Goiania","GEO CO","3","ROTA","453","2019-03-01 00:00:00","TOTAL"
"CDD Manaus","GEO CO","77.364","ROTA","849","2019-03-01 00:00:00","TOTAL"
"CDD Porto Velho","GEO CO","12.056","ROTA","761","2019-03-01 00:00:00","TOTAL"
"CDDRondonopolis","GEO CO","16.920","ROTA","111","2019-03-01 00:00:00","TOTAL"
"CDD Alfenas","GEO MG","16.440","ROTA","820","2019-03-01 00:00:00","TOTAL"
"CDD Ipatinga","GEO MG","17.002","ROTA","45","2019-03-01 00:00:00","TOTAL"
"CDD Minas","GEO MG","58.531","ROTA","95","2019-03-01 00:00:00","TOTAL"
"CDD Pocos Cald","GEO MG","18.482","ROTA","835","2019-03-01 00:00:00","TOTAL"
"CDD Sete Lagoas","GEO MG","18.717","ROTA","189","2019-03-01 00:00:00","TOTAL"
"CDD Uberaba","GEO MG","48.019","ROTA","88","2019-03-01 00:00:00","TOTAL"
"CDD Uberlandia","GEO MG","47.079","ROTA","576","2019-03-01 00:00:00","TOTAL"
"CDD Varginha","GEO MG","20.493","ROTA","322","2019-03-01 00:00:00","TOTAL"
"CDDJoao Monleva","GEO MG","12.324","ROTA","186","2019-03-01 00:00:00","TOTAL"
"CDDPouso Alegre","GEO MG","38.078","ROTA","845","2019-03-01 00:00:00","TOTAL"
"CDL AS Minas","GEO MG","- 0","ROTA","723","2019-03-01 00:00:00","TOTAL"
"CDL Santa Luzia","GEO MG","112.218","ROTA","541","2019-03-01 00:00:00","TOTAL"
"CDC Arapiraca","GEO NE","13.276","ROTA","809","2019-03-01 00:00:00","TOTAL"
"CDC Eunapolis","GEO NE","10.953","ROTA","973","2019-03-01 00:00:00","TOTAL"
"CDD Aracaju","GEO NE","18.966","ROTA","581","2019-03-01 00:00:00","TOTAL"
"CDD Barreiras","GEO NE","15.100","ROTA","295","2019-03-01 00:00:00","TOTAL"
"CDD Brumado","GEO NE","12.755","ROTA","825","2019-03-01 00:00:00","TOTAL"
"CDD Caruaru","GEO NE","29.512","ROTA","598","2019-03-01 00:00:00","TOTAL"
"CDD F.Santana","GEO NE","47.431","ROTA","180","2019-03-01 00:00:00","TOTAL"
"CDD Guanambi","GEO NE","9.922","ROTA","52","2019-03-01 00:00:00","TOTAL"
"CDD Ilheus","GEO NE","27.089","ROTA","70","2019-03-01 00:00:00","TOTAL"
"CDD Joao Pessoa","GEO NE","19.809","ROTA","457","2019-03-01 00:00:00","TOTAL"
"CDD Lapa","GEO NE","8.846","ROTA","46","2019-03-01 00:00:00","TOTAL"
"CDD Maceio","GEO NE","27.125","ROTA","141","2019-03-01 00:00:00","TOTAL"
"CDD Olinda","GEO NE","86.163","ROTA","546","2019-03-01 00:00:00","TOTAL"
"CDD Salvador","GEO NE","71.488","ROTA","71","2019-03-01 00:00:00","TOTAL"
"CDD Vit da Conq","GEO NE","31.662","ROTA","135","2019-03-01 00:00:00","TOTAL"
"CDL Cabo","GEO NE","28.389","ROTA","729","2019-03-01 00:00:00","TOTAL"
"CRBS CDCampinaG","GEO NE","9.444","ROTA","934","2019-03-01 00:00:00","TOTAL"
"CDC Araguaina","GEO NO","24.426","ROTA","191","2019-03-01 00:00:00","TOTAL"
"CDC Redencao","GEO NO","12.411","ROTA","843","2019-03-01 00:00:00","TOTAL"
"CDD Belem","GEO NO","51.449","ROTA","229","2019-03-01 00:00:00","TOTAL"
"CDD Fortaleza","GEO NO","39.381","ROTA","499","2019-03-01 00:00:00","TOTAL"
"CDD Imperatriz","GEO NO","15.499","ROTA","603","2019-03-01 00:00:00","TOTAL"
"CDD Itapipoca","GEO NO","7.084","ROTA","252","2019-03-01 00:00:00","TOTAL"
"CDD Maraba","GEO NO","14.543","ROTA","292","2019-03-01 00:00:00","TOTAL"
"CDD MARANHÃO","GEO NO","36.526","ROTA","992","2019-03-01 00:00:00","TOTAL"
"CDD Natal","GEO NO","30.910","ROTA","458","2019-03-01 00:00:00","TOTAL"
"CDD SUL MARANHA","GEO NO","9.020","ROTA","67","2019-03-01 00:00:00","TOTAL"
"CDL Ceara","GEO NO","51.003","ROTA","762","2019-03-01 00:00:00","TOTAL"
"CD Nova Friburg","GEO RJ/ES","23.335","ROTA","85","2019-03-01 00:00:00","TOTAL"
"CD RJ Campo Gde","GEO RJ/ES","118.700","ROTA","36","2019-03-01 00:00:00","TOTAL"
"CDD Cachoeiro","GEO RJ/ES","24.883","ROTA","986","2019-03-01 00:00:00","TOTAL"
"CDD Campos","GEO RJ/ES","27.883","ROTA","539","2019-03-01 00:00:00","TOTAL"
"CDD Jacarepagua","GEO RJ/ES","135.924","ROTA","538","2019-03-01 00:00:00","TOTAL"
"CDD Niteroi","GEO RJ/ES","106.607","ROTA","724","2019-03-01 00:00:00","TOTAL"
"CDD Pavuna","GEO RJ/ES","63.180","ROTA","958","2019-03-01 00:00:00","TOTAL"
"CDD Petropolis","GEO RJ/ES","37.722","ROTA","86","2019-03-01 00:00:00","TOTAL"
"CDD S.Cristovao","GEO RJ/ES","70.864","ROTA","575","2019-03-01 00:00:00","TOTAL"
"CDD Vitória","GEO RJ/ES","68.046","ROTA","438","2019-03-01 00:00:00","TOTAL"
"CDD VR","GEO RJ/ES","42.231","ROTA","81","2019-03-01 00:00:00","TOTAL"
"CDL Itaperuna","GEO RJ/ES","19.986","ROTA","495","2019-03-01 00:00:00","TOTAL"
"CRBS CDDNIguacu","GEO RJ/ES","60.273","ROTA","61","2019-03-01 00:00:00","TOTAL"
"CD Bebedouro","GEO SP","33.527","ROTA","83","2019-03-01 00:00:00","TOTAL"
"CD F. Agudos","GEO SP","25.952","ROTA","902","2019-03-01 00:00:00","TOTAL"
"CDD Aracatuba","GEO SP","36.357","ROTA","811","2019-03-01 00:00:00","TOTAL"
"CDD Araraquara","GEO SP","32.602","ROTA","763","2019-03-01 00:00:00","TOTAL"
"CDD Barueri","GEO SP","50.395","ROTA","303","2019-03-01 00:00:00","TOTAL"
